StationCode,StationName_Short,DistrictName,Latitude,Longitude,LastReadingTime,DistrictCode_from_JS
RF.KTY.01,สนข.คลองเตย,คลองเตย,13.70791,100.58363,19/11/2568 21:45,30
RF.KTY.02,ส.พระราม 4,คลองเตย,13.7087,100.55457,19/11/2568 21:45,80
RF.KTY.03,ส.พระโขนง,คลองเตย,13.70857,100.59542,19/11/2568 21:45,81
RF.KTY.04,ส.คลองเตย,คลองเตย,13.70628,100.58752,19/11/2568 21:45,82
RF.KTY.05,จุดวัดสวนเบญจสิริ,คลองเตย,13.73159,100.56745,19/11/2568 21:45,95
RF.KSN.01,สนข.คลองสาน,คลองสาน,13.73044,100.50947,19/11/2568 21:45,34
RF.KSN.02,ส.คลองบางไส้ไก่,คลองสาน,13.70692,100.49737,19/11/2568 21:40,125
RF.KSW.01,สนข.คลองสามวา,คลองสามวา,13.8599,100.70424,19/11/2568 21:45,21
RF.KSW.02,ปตร.คลองสามวา,คลองสามวา,13.85954,100.72909,19/11/2568 21:45,58
RF.KSW.03,จุดวัด ค.เก้า-วัดศรีสุขฯ,คลองสามวา,13.92046,100.79228,19/11/2568 21:45,96
RF.KNY.02,จุดวัด ค.ลำชะล่า-ถ.นวมินทร์,คันนายาว,13.83637,100.66131,19/11/2568 21:45,61
RF.CTC.01,บ่อสูบศาลอาญารัชดา,จตุจักร,13.80967,100.57498,19/11/2568 21:45,12
RF.CTC.02,ส.รัชดา-วิภาวดี,จตุจักร,13.83022,100.55723,19/11/2568 21:45,93
RF.CTC.03,จุดวัด ถ.เทศบาลสงเคราะห์,จตุจักร,13.83978,100.54175,19/11/2568 21:45,51
RF.JTG.01,สนข.จอมทอง,จอมทอง,13.67744,100.48427,19/11/2568 21:45,40
RF.JTG.02,จุดวัด ค.สนามชัย-ค.บางขุนเทียน,จอมทอง,13.70123,100.46491,19/11/2568 21:45,115
RF.JTG.03,ส.คลองสี่บาท,จอมทอง,13.67325,100.44615,19/11/2568 21:45,118
RF.DMG.01,สนข.ดอนเมือง,ดอนเมือง,13.91053,100.59492,19/11/2568 21:45,14
RF.DDG.02,ศูนย์ฯ (ดินแดง),ดินแดง,13.76902,100.55452,19/11/2568 21:45,55
RF.DST.01,สนข.ดุสิต,ดุสิต,13.77693,100.52032,19/11/2568 21:45,9
RF.DST.02,ส.สามเสน,ดุสิต,13.78483,100.50825,19/11/2568 21:45,68
RF.TLC.01,สนข.ตลิ่งชัน,ตลิ่งชัน,13.77663,100.45653,19/11/2568 21:45,38
RF.TLC.02,ปตร.คลองบัว-ทางรถไฟ,ตลิ่งชัน,13.79974,100.41609,19/11/2568 21:45,107
RF.TLC.03,ส.คลองชักพระ,ตลิ่งชัน,13.77892,100.465,19/11/2568 21:45,108
RF.TWW.01,สนข.ทวีวัฒนา,ทวีวัฒนา,13.77281,100.35324,19/11/2568 21:45,43
RF.TWW.02,ปตร.คลองทวีวัฒนา,ทวีวัฒนา,13.80042,100.32959,19/11/2568 21:45,106
RF.TWW.03,ปตร.คลองขุนศรีฯ-ค.มหาสวัสดิ์,ทวีวัฒนา,13.80244,100.3707,19/11/2568 21:45,126
RF.TWW.04,จุดวัด ค.ทวีฯ-ค.บางเชือกหนัง,ทวีวัฒนา,13.75037,100.35351,19/11/2568 21:45,128
RF.TKU.01,สนข.ทุ่งครุ,ทุ่งครุ,13.61135,100.50878,19/11/2568 21:45,42
RF.TKU.02,ปตร.คลองรางจาก-ถ.ประชาอุทิศ,ทุ่งครุ,13.63494,100.50218,19/11/2568 21:45,120
RF.TBR.01,สนข.ธนบุรี,ธนบุรี,13.72497,100.48558,19/11/2568 21:45,33
