Epoch 01: Train 0.9579 | Val 1.1455
Epoch 02: Train 0.9309 | Val 1.1350
Epoch 03: Train 0.9227 | Val 1.1271
Epoch 04: Train 0.9140 | Val 1.1323
Epoch 05: Train 0.9094 | Val 1.1291
Epoch 06: Train 0.9046 | Val 1.1266
Epoch 07: Train 0.9008 | Val 1.1258
Epoch 08: Train 0.8978 | Val 1.1258
Epoch 09: Train 0.8943 | Val 1.1269
Epoch 10: Train 0.8905 | Val 1.1298
Epoch 11: Train 0.8871 | Val 1.1245
Epoch 12: Train 0.8833 | Val 1.1321
Epoch 13: Train 0.8822 | Val 1.1287
Epoch 14: Train 0.8771 | Val 1.1341
Epoch 15: Train 0.8750 | Val 1.1389
Epoch 16: Train 0.8734 | Val 1.1441
Epoch 17: Train 0.8698 | Val 1.1340
Epoch 18: Train 0.8652 | Val 1.1492
